author,paper_count,share
Dawn Song,7,0.09965831435079728
Alexander Koller,7,0.09965831435079728
Nancy Chen,7,0.09965831435079728
Yonatan Bisk,7,0.09965831435079728
Veselin Stoyanov,7,0.09965831435079728
Bonan Min,7,0.09965831435079728
Xuxin Cheng,7,0.09965831435079728
Jason Eisner,7,0.09965831435079728
Qiushi Sun,7,0.09965831435079728
Jinyoung Yeo,7,0.09965831435079728
Jinsung Kim,7,0.09965831435079728
Yi Tay,7,0.09965831435079728
Baosong Yang,7,0.09965831435079728
Qingyu Yin,7,0.09965831435079728
Kelong Mao,7,0.09965831435079728
Jordan Lee Boyd-Graber,7,0.09965831435079728
Matteo Negri,7,0.09965831435079728
Baolin Peng,7,0.09965831435079728
Zaiqiao Meng,7,0.09965831435079728
Sophia Ananiadou,7,0.09965831435079728
Fei Liu,7,0.09965831435079728
Boyang Li,7,0.09965831435079728
Bowen Li,7,0.09965831435079728
Yusuke Miyao,7,0.09965831435079728
Yuqing Yang,7,0.09965831435079728
Steffen Eger,7,0.09965831435079728
Fengran Mo,7,0.09965831435079728
Siliang Tang,7,0.09965831435079728
Zhaoxuan Tan,7,0.09965831435079728
Mihir Parmar,7,0.09965831435079728
Yang Xu,7,0.09965831435079728
Yanai Elazar,7,0.09965831435079728
Ioannis Konstas,7,0.09965831435079728
Yongjing Yin,7,0.09965831435079728
Kevin Chen-Chuan Chang,7,0.09965831435079728
Yongliang Shen,7,0.09965831435079728
Yu Cheng,7,0.09965831435079728
Chloé Clavel,7,0.09965831435079728
Kenny Zhu,7,0.09965831435079728
Lingfei Wu,7,0.09965831435079728
Hao Chen,7,0.09965831435079728
Manabu Okumura,7,0.09965831435079728
Zhuoran Jin,7,0.09965831435079728
Dongyeop Kang,7,0.09965831435079728
Yujia Qin,7,0.09965831435079728
Hongwei Wang,7,0.09965831435079728
Zhiyong Wu,7,0.09965831435079728
Yue Yu,7,0.09965831435079728
Junho Kim,7,0.09965831435079728
Zhiyu Chen,7,0.09965831435079728
Ahmed Hassan Awadallah,7,0.09965831435079728
Emily Allaway,7,0.09965831435079728
Zhirui Zhang,7,0.09965831435079728
Shaolei Zhang,7,0.09965831435079728
Sharon Levy,7,0.09965831435079728
Jieyu Zhao,7,0.09965831435079728
Seonghyeon Ye,7,0.09965831435079728
Dinesh Raghu,7,0.09965831435079728
Shangbin Feng,7,0.09965831435079728
Zhouhan Lin,7,0.09965831435079728
Man Lan,7,0.09965831435079728
Manling Li,7,0.09965831435079728
Lyle Ungar,7,0.09965831435079728
Sadao Kurohashi,7,0.09965831435079728
Lukas Lange,6,0.08542141230068337
